group,score
Group A,0.5969
Group A,0.5923
Group A,0.6022
Group A,0.7323
Group A,0.5996
Group A,0.3804
Group A,0.6732
Group A,0.5772
Group A,0.5853
Group A,0.6385
Group A,0.6572
Group A,0.8062
Group A,0.7251
Group A,0.6377
Group A,0.5019
Group A,0.4577
Group A,0.6594
Group A,0.8298
Group A,0.6267
Group A,0.603
Group A,0.7051
Group A,0.3874
Group A,0.57
Group A,0.6985
Group A,0.7597
Group A,0.5815
Group A,0.6803
Group A,0.6597
Group A,0.7452
Group A,0.4419
Group A,0.7109
Group A,0.3777
Group A,0.2008
Group A,0.5229
Group A,0.4735
Group A,0.7602
Group A,0.7263
Group A,0.4249
Group A,0.7556
Group A,0.4596
Group A,0.6062
Group A,0.573
Group A,0.6383
Group A,0.751
Group A,0.7221
Group A,0.676
Group A,0.724
Group A,0.6966
Group A,0.5197
Group A,0.5052
Group A,0.5448
Group A,0.6999
Group A,0.58
Group A,0.9937
Group A,0.4889
Group A,0.4442
Group A,0.743
Group A,0.8475
Group A,0.7009
Group A,0.7537
Group A,0.8482
Group A,0.605
Group A,0.3923
Group A,0.5349
Group A,0.7725
Group A,0.389
Group A,0.6254
Group A,0.6605
Group A,0.5695
Group A,0.7358
Group A,0.7129
Group A,0.9914
Group A,0.7192
Group A,0.5225
Group A,0.5301
Group A,0.4869
Group A,0.7724
Group A,0.5293
Group A,0.6088
Group A,0.7399
Group A,0.5042
Group A,0.573
Group A,0.3254
Group A,0.4468
Group A,0.5292
Group A,0.6865
Group A,0.811
Group A,0.617
Group A,0.6618
Group A,0.6469
Group A,0.7936
Group A,0.7629
Group A,0.6638
Group A,0.4582
Group A,0.7645
Group A,0.681
Group A,0.8163
Group A,0.6152
Group A,0.9325
Group A,0.5626
Group A,0.8749
Group A,0.6384
Group A,0.5374
Group A,0.4394
Group A,0.5958
Group A,0.8477
Group A,0.7506
Group A,0.7302
Group A,0.2399
Group A,0.7338
Group A,0.7089
Group A,0.532
Group A,0.5196
Group A,0.6196
Group A,0.896
Group A,0.4512
Group A,0.5516
Group A,0.8379
Group A,0.5486
Group A,0.5617
Group A,0.6356
Group A,0.4214
Group A,0.6552
Group A,0.4265
Group A,0.7616
Group A,0.6205
Group A,0.9853
Group A,0.6649
Group A,0.8385
Group A,0.4115
Group A,0.6005
Group A,0.6717
Group A,0.8993
Group A,0.3511
Group A,0.7785
Group A,0.7146
Group A,0.8654
Group A,0.734
Group A,0.6283
Group A,0.5365
Group A,0.4203
Group A,0.6513
Group A,0.5893
Group A,0.9432
Group A,0.5222
Group A,0.6713
Group A,0.369
Group A,0.5567
Group A,0.6618
Group A,0.7518
Group A,0.8517
Group A,0.6129
Group A,0.4412
Group A,0.6933
Group A,0.7027
Group A,0.6987
Group A,0.508
Group A,0.8013
Group A,0.6341
Group A,0.732
Group A,0.8239
Group A,0.7175
Group A,0.6658
Group A,0.9644
Group A,0.659
Group A,0.5726
Group A,0.6379
Group A,0.8572
Group A,0.639
Group A,0.7031
Group A,0.8113
Group A,0.5379
Group A,0.3437
Group A,0.6679
Group A,0.6568
Group A,0.5227
Group A,0.7594
Group A,0.7172
Group A,0.4608
Group A,0.7029
Group A,0.5886
Group A,0.3827
Group A,0.6925
Group A,0.6128
Group A,0.5008
Group A,0.7037
Group A,0.6981
Group A,0.5276
Group A,0.6841
Group A,0.7824
Group A,0.506
Group A,0.6809
Group A,0.6204
Group A,0.9826
Group A,0.322
Group A,0.7312
Group A,0.571
Group A,0.604
Group A,0.9243
Group A,0.6186
Group A,0.9786
Group A,0.5493
Group A,0.6761
Group A,0.5415
Group A,0.5095
Group A,0.63
Group A,0.5748
Group A,0.6524
Group A,0.2832
Group A,0.9404
Group A,0.5933
Group A,0.8989
Group A,0.4589
Group A,0.6668
Group A,1.1264
Group A,0.4808
Group A,0.3808
Group A,0.5326
Group A,0.6956
Group A,0.7309
Group A,0.8265
Group A,0.5789
Group A,0.3636
Group A,0.5504
Group A,0.8184
Group A,0.6945
Group A,0.3069
Group A,0.6144
Group A,0.8437
Group A,0.9602
Group A,0.7099
Group A,0.6695
Group A,0.4216
Group A,0.4851
Group A,0.6275
Group A,0.7005
Group A,0.7128
Group A,0.5435
Group A,0.4357
Group A,0.4956
Group A,0.4349
Group A,0.7229
Group A,0.25
Group A,0.5667
Group A,0.692
Group A,0.8635
Group A,0.6314
Group A,0.7802
Group A,0.5562
Group A,0.5009
Group A,0.5121
Group A,0.8644
Group A,0.7791
Group A,0.698
Group A,1.1528
Group A,0.6148
Group A,0.7193
Group A,0.6692
Group A,0.5845
Group A,0.9906
Group A,0.8611
Group A,0.3961
Group A,0.556
Group A,0.6885
Group A,0.7453
Group A,0.4042
Group A,0.2591
Group A,0.315
Group A,0.6086
Group A,0.6035
Group A,0.6752
Group A,0.4969
Group A,0.4241
Group A,0.2963
Group A,0.6727
Group A,0.6792
Group A,0.7789
Group A,0.7465
Group A,0.5895
Group A,0.8359
Group A,0.5982
Group A,0.5143
Group A,0.5367
Group A,0.5264
Group A,0.2735
Group A,0.645
Group A,0.66
Group A,0.562
Group A,0.5058
Group A,0.6795
Group A,0.8947
Group A,0.6261
Group A,0.5388
Group A,0.5254
Group A,0.6088
Group A,0.4176
Group A,0.6
Group A,0.6298
Group A,0.9151
Group A,0.771
Group B,0.6344
Group B,0.4073
Group B,0.5871
Group B,0.3519
Group B,0.5406
Group B,0.5544
Group B,0.4004
Group B,0.7599
Group B,0.5738
Group B,0.2526
Group B,0.5719
Group B,0.447
Group B,0.5002
Group B,0.5605
Group B,0.5508
Group B,0.2349
Group B,0.3494
Group B,0.6004
Group B,0.6692
Group B,0.7474
Group B,0.7344
Group B,0.2328
Group B,0.6
Group B,0.2509
Group B,0.7098
Group B,0.5329
